Full data: (3) PE with preterm VS everything else
0.43
0.36
0.53
0.76
0.52
0.49
0.54
0.41
0.57
0.36
0.55
0.52
0.36
0.47
0.7
0.46
0.38
0.62
0.36
0.43
0.42
0.52
0.36
0.63
0.36
0.68
0.36
0.63
0.36
0.36
0.36
0.56
0.38
0.36
0.36
0.51
0.36
0.43
0.36
0.79
0.96
0.42
0.44
0.36
0.36
0.36
0.36
0.48
0.36
0.39
0.42
0.36
0.36
0.45
0.37
0.78
0.43
0.36
0.36
0.36
0.36
0.56
0.36
0.7
0.51
0.36
0.53
0.74
0.38
0.38
0.64
0.36
0.56
0.55
0.48
0.58
0.45
0.36
0.36
0.36
0.53
0.41
0.36
0.47
0.36
0.36
0.36
0.36
0.36
0.37
0.41
0.36
0.36
0.37
0.36
0.86
0.36
0.36
0.41
0.37
0.56
0.36
0.36
0.46
0.36
0.45
0.4
0.36
0.73
0.46
0.42
0.36
0.43
0.36
0.36
0.36
0.36
0.36
0.36
0.6
0.36
0.69
0.36
0.6
0.58
0.42
0.36
0.36
0.55
0.36
0.36
0.41
0.57
0.41
0.36
0.36
0.46
0.36
0.36
0.36
0.63
0.65
0.43
0.76
0.36
0.43
0.77
0.4
0.44
0.36
0.53
0.36
0.4
0.43
0.36
0.38
0.68
0.38
0.61
0.36
0.36
0.36
0.56
0.38
0.36
0.36
0.52
0.36
0.42
0.36
0.38
0.36
0.36
0.43
0.53
0.46
0.36
0.36
0.51
0.64
0.36
0.36
0.36
0.78
0.37
0.76
0.46
0.36
0.38
0.36
0.37
0.36
0.67
0.45
0.36
0.36
0.36
0.36
0.45
0.36
0.38
0.4
0.36
0.36
0.65
0.46
0.45
0.36
0.36
0.36
0.36
0.38
0.37
0.48
0.36
0.36
0.45
0.54
0.36
0.45
0.5
0.36
0.68
0.44
0.36
0.44
0.36
0.55
0.36
0.36
0.36
0.36
0.36
0.39
0.36
0.36
0.42
0.42
0.36
0.43
0.36
0.46
0.46
0.55
0.52
0.36
0.62
0.46
0.56
0.36
0.62
0.47
0.6
0.36
0.55
0.36
0.36
0.36
0.36
0.36
0.38
0.36
0.36
0.39
0.36
0.36
0.36
0.36
0.43
0.36
0.36
0.36
0.62
0.38
0.36
0.36
0.39
0.36
0.36
0.36
0.55
0.7
0.43
0.83
0.36
0.54
0.36
0.38
0.36
0.36
0.45
0.36
0.43
0.36
0.36
0.46
0.36
0.39
0.36
0.69
0.44
0.36
0.78
0.47
0.36
0.46
0.36
0.46
0.36
0.36
0.85
0.53
0.4
0.42
0.38
0.55
0.47
0.36
0.46
0.63
0.36
0.36
0.99
0.46
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.51
0.44
0.47
0.55
0.68
0.36
0.36
0.36
0.36
0.53
0.37
0.36
0.64
0.51
0.53
0.36
0.36
0.42
0.37
0.52
0.46
0.43
0.36
0.36
0.56
0.36
0.36
0.36
0.36
0.58
0.37
0.42
0.59
0.61
0.36
0.36
0.36
0.36
0.36
0.51
0.36
0.61
0.55
0.54
0.55
0.63
0.47
0.36
0.36
0.51
0.36
0.36
0.36
0.36
0.55
0.36
0.66
0.36
0.47
0.74
0.36
0.46
0.36
0.46
0.37
0.52
0.54
0.36
0.36
0.53
0.38
0.93
0.36
0.48
0.36
0.36
0.38
0.42
0.36
0.69
0.36
0.36
0.55
0.38
0.36
0.66
0.52
0.36
0.5
0.5
0.36
0.37
0.36
0.36
0.36
0.48
0.36
0.41
0.75
0.36
0.45
0.36
0.47
0.53
0.38
0.36
0.36
0.36
0.36
0.76
0.36
0.36
0.36
0.37
0.36
0.4
0.36
0.39
0.36
0.88
0.36
0.47
0.36
0.62
0.36
0.5
0.56
0.44
0.65
0.48
0.36
0.36
0.36
0.36
0.36
0.36
0.47
0.62
0.4
0.42
0.39
0.44
0.36
0.56
0.41
0.36
0.38
0.36
0.43
0.36
0.36
0.36
0.36
0.57
0.42
0.63
0.39
0.36
0.39
0.36
0.43
0.45
0.36
0.38
0.38
0.36
0.43
0.36
0.36
0.36
0.87
0.55
0.36
0.52
0.36
0.36
0.55
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.53
0.36
0.43
0.53
0.36
0.63
0.55
0.41
0.38
0.36
0.36
0.36
0.36
0.64
0.48
0.36
0.36
0.36
0.91
0.36
0.36
0.4
0.37
0.36
0.47
0.36
0.36
0.5
0.36
0.36
0.45
0.37
0.36
0.36
0.47
0.47
0.41
0.36
0.36
0.43
0.39
0.36
0.42
0.36
0.36
0.36
0.36
0.36
0.48
0.36
0.49
0.47
0.36
0.64
0.48
0.36
0.5
0.36
0.36
0.37
0.36
0.36
0.36
0.36
0.36
0.53
0.59
0.36
0.4
0.69
0.61
0.65
0.36
0.43
0.36
0.62
0.36
0.36
0.36
0.37
0.85
0.36
0.76
0.61
0.46
0.36
0.36
0.36
0.39
0.36
0.36
0.6
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.36
0.45
0.49
0.46
0.52
0.36
0.48
0.49
0.63
0.36
0.42
0.37
0.36
0.36
0.42
0.39
0.36
0.36
0.36
0.39
0.36
0.75
0.4
0.36
0.4
0.56
0.36
0.36
0.36
0.44
0.41
0.36
0.36
0.36
0.4
0.36
0.5
0.37
0.36
0.39
0.36
0.36
0.36
0.46
0.37
0.43
0.4
0.36
0.45
0.36
0.36
0.41
0.36
0.36
0.36
0.69
0.36
0.52
0.36
0.46
0.36
0.42
0.36
0.36
0.36
0.36
0.36
0.36
0.56
0.54
0.37
0.46
0.49
0.36
0.41
0.36
0.53
0.36
0.36
0.59
0.4
0.36
0.43
0.59
0.36
0.36
0.42
0.36
0.36
0.42
0.39
0.53
0.36
0.36
0.58
0.36
0.36
0.44
0.36
0.57
0.63
0.38
0.36
0.36
0.36
0.36
0.4
0.36
0.36
0.37
0.36
0.36
0.36
0.36
0.59
0.36
0.37
0.46
0.36
0.36
0.58
0.47
0.51
0.47
0.36
0.63
0.36
0.36
0.36
0.39
0.36
0.36
0.37
0.63
0.36
0.36
0.36
0.36
0.36
0.48
0.5
0.39
0.36
