Full data: (1) PE VS noPE
0.48
0.48
0.53
0.62
0.58
0.51
0.53
0.51
0.56
0.48
0.57
0.56
0.48
0.49
0.63
0.5
0.49
0.59
0.48
0.52
0.55
0.58
0.48
0.55
0.48
0.69
0.48
0.6
0.48
0.48
0.5
0.58
0.48
0.48
0.48
0.57
0.48
0.53
0.48
0.75
0.84
0.51
0.51
0.48
0.48
0.48
0.48
0.53
0.48
0.48
0.51
0.48
0.49
0.52
0.48
0.68
0.5
0.48
0.48
0.48
0.48
0.55
0.48
0.71
0.54
0.48
0.54
0.63
0.5
0.48
0.59
0.48
0.54
0.55
0.52
0.57
0.5
0.48
0.48
0.48
0.55
0.51
0.48
0.52
0.48
0.48
0.48
0.48
0.48
0.48
0.65
0.48
0.48
0.49
0.48
0.69
0.48
0.48
0.53
0.48
0.57
0.48
0.48
0.54
0.48
0.54
0.5
0.48
0.61
0.51
0.5
0.48
0.53
0.48
0.48
0.48
0.49
0.48
0.48
0.55
0.48
0.61
0.48
0.52
0.57
0.51
0.51
0.48
0.58
0.48
0.48
0.54
0.54
0.51
0.48
0.49
0.52
0.48
0.48
0.49
0.59
0.58
0.5
0.6
0.48
0.5
0.65
0.49
0.5
0.48
0.56
0.48
0.51
0.5
0.48
0.5
0.61
0.48
0.57
0.48
0.48
0.48
0.61
0.49
0.48
0.48
0.55
0.48
0.49
0.48
0.51
0.48
0.48
0.49
0.53
0.49
0.48
0.48
0.53
0.6
0.48
0.49
0.48
0.64
0.49
0.63
0.52
0.48
0.51
0.48
0.48
0.48
0.71
0.52
0.48
0.48
0.48
0.48
0.5
0.48
0.48
0.5
0.49
0.48
0.58
0.53
0.52
0.48
0.48
0.48
0.48
0.49
0.48
0.51
0.48
0.48
0.53
0.54
0.48
0.51
0.56
0.49
0.59
0.53
0.48
0.5
0.48
0.53
0.48
0.48
0.48
0.48
0.48
0.49
0.48
0.49
0.5
0.53
0.5
0.5
0.49
0.5
0.51
0.57
0.54
0.48
0.57
0.51
0.54
0.48
0.58
0.48
0.55
0.48
0.54
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.49
0.48
0.48
0.48
0.56
0.5
0.48
0.48
0.5
0.48
0.48
0.48
0.61
0.61
0.5
0.76
0.48
0.53
0.48
0.49
0.48
0.5
0.54
0.5
0.51
0.48
0.48
0.51
0.48
0.48
0.48
0.72
0.49
0.48
0.61
0.52
0.48
0.51
0.48
0.5
0.48
0.5
0.77
0.52
0.51
0.49
0.5
0.52
0.52
0.48
0.52
0.68
0.48
0.48
0.9
0.52
0.48
0.48
0.48
0.51
0.48
0.48
0.48
0.51
0.52
0.53
0.56
0.57
0.48
0.48
0.48
0.48
0.53
0.48
0.48
0.59
0.52
0.56
0.51
0.48
0.51
0.51
0.51
0.51
0.51
0.48
0.48
0.51
0.48
0.48
0.48
0.5
0.59
0.5
0.53
0.56
0.58
0.48
0.48
0.48
0.48
0.48
0.55
0.48
0.67
0.56
0.56
0.53
0.57
0.5
0.48
0.48
0.52
0.48
0.48
0.48
0.48
0.6
0.48
0.61
0.48
0.54
0.76
0.48
0.51
0.48
0.53
0.48
0.54
0.54
0.48
0.48
0.55
0.49
0.75
0.48
0.54
0.49
0.48
0.49
0.48
0.48
0.57
0.48
0.5
0.56
0.49
0.48
0.6
0.54
0.48
0.54
0.55
0.48
0.48
0.48
0.48
0.48
0.53
0.48
0.51
0.61
0.48
0.51
0.48
0.51
0.52
0.48
0.48
0.48
0.48
0.48
0.69
0.48
0.48
0.48
0.52
0.48
0.49
0.49
0.49
0.48
0.8
0.48
0.52
0.48
0.58
0.48
0.64
0.51
0.56
0.69
0.53
0.48
0.48
0.48
0.48
0.48
0.48
0.51
0.55
0.52
0.49
0.48
0.5
0.48
0.56
0.51
0.51
0.51
0.48
0.49
0.48
0.48
0.48
0.48
0.55
0.51
0.59
0.5
0.48
0.48
0.48
0.51
0.53
0.48
0.49
0.48
0.48
0.5
0.48
0.48
0.48
0.71
0.53
0.48
0.54
0.48
0.48
0.56
0.49
0.51
0.48
0.48
0.48
0.48
0.48
0.49
0.48
0.51
0.48
0.49
0.53
0.48
0.59
0.56
0.5
0.49
0.48
0.49
0.48
0.48
0.7
0.53
0.48
0.48
0.48
0.81
0.48
0.5
0.55
0.5
0.48
0.54
0.48
0.48
0.52
0.48
0.48
0.53
0.48
0.48
0.49
0.52
0.52
0.52
0.48
0.48
0.5
0.54
0.48
0.51
0.48
0.48
0.48
0.48
0.48
0.52
0.48
0.57
0.51
0.48
0.56
0.51
0.48
0.53
0.48
0.48
0.48
0.48
0.49
0.48
0.48
0.48
0.59
0.59
0.48
0.52
0.58
0.55
0.58
0.48
0.5
0.48
0.57
0.48
0.48
0.48
0.5
0.71
0.48
0.61
0.59
0.52
0.48
0.48
0.51
0.5
0.48
0.48
0.55
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.49
0.52
0.51
0.5
0.59
0.48
0.5
0.52
0.6
0.48
0.52
0.49
0.5
0.5
0.53
0.48
0.48
0.48
0.48
0.49
0.48
0.61
0.49
0.48
0.49
0.56
0.48
0.48
0.48
0.49
0.48
0.48
0.48
0.48
0.5
0.48
0.55
0.5
0.48
0.49
0.48
0.48
0.48
0.53
0.52
0.52
0.5
0.48
0.56
0.48
0.48
0.51
0.48
0.48
0.48
0.6
0.48
0.54
0.48
0.51
0.48
0.49
0.48
0.48
0.48
0.48
0.49
0.48
0.56
0.58
0.5
0.53
0.54
0.49
0.52
0.48
0.52
0.48
0.48
0.54
0.48
0.48
0.51
0.6
0.48
0.48
0.52
0.48
0.48
0.5
0.48
0.54
0.48
0.48
0.56
0.48
0.48
0.5
0.48
0.55
0.58
0.5
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.5
0.48
0.48
0.48
0.51
0.57
0.48
0.52
0.5
0.48
0.48
0.55
0.53
0.54
0.53
0.48
0.6
0.48
0.48
0.48
0.48
0.48
0.48
0.51
0.58
0.48
0.48
0.48
0.48
0.49
0.51
0.54
0.48
0.48
0.68
0.49
0.52
0.48
0.62
0.6
0.48
0.48
0.48
0.48
0.48
0.56
0.56
0.48
0.72
0.61
0.48
0.56
0.49
0.48
0.5
0.54
0.49
0.48
0.49
0.49
0.48
0.48
0.48
0.48
0.48
0.53
0.48
0.48
0.48
0.48
0.54
0.52
0.49
0.51
0.48
0.48
0.57
0.5
0.48
0.48
0.48
0.53
0.48
0.48
0.52
0.53
0.48
0.48
0.48
0.49
0.48
0.57
0.69
0.56
0.48
0.5
0.48
0.5
0.48
0.48
0.48
0.48
0.48
0.6
0.5
0.49
0.51
0.52
0.51
0.51
0.5
0.48
0.52
0.48
0.5
0.48
0.59
0.55
0.5
0.6
0.6
0.49
0.52
0.48
0.58
0.52
0.53
0.48
0.48
0.48
0.59
0.57
0.48
0.57
0.48
0.52
0.5
0.48
0.54
0.53
0.48
0.51
0.56
0.48
0.59
0.5
0.48
0.49
0.48
0.49
0.56
0.51
0.53
0.48
0.53
0.48
0.58
0.53
0.5
0.56
0.48
0.49
0.53
0.48
0.5
0.48
0.52
0.5
0.57
0.49
0.48
0.53
0.48
0.5
0.48
0.55
0.48
0.52
0.54
0.57
0.48
0.54
0.48
0.48
0.48
0.48
0.48
0.54
0.49
0.64
0.54
0.48
0.58
0.54
0.48
0.49
0.52
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.61
0.52
0.59
0.48
0.58
0.48
0.48
0.48
0.48
0.5
0.48
0.48
0.48
0.48
0.48
0.49
0.48
0.48
0.5
0.48
0.48
0.52
0.5
0.48
0.6
0.61
0.54
0.51
0.48
0.48
0.5
0.51
0.49
0.48
0.55
0.5
0.52
0.5
